iter	Passed	Remaining
0	135	135660
1	136	68270
2	138	46142
3	140	34925
4	141	28189
5	142	23617
6	143	20371
7	144	17920
8	145	16017
9	146	14550
10	148	13333
11	149	12330
12	151	11494
13	152	10774
14	154	10151
15	155	9576
16	156	9055
17	158	8638
18	159	8234
19	160	7855
20	161	7508
21	161	7184
22	162	6889
23	162	6620
24	163	6379
25	164	6150
26	164	5942
27	165	5745
28	166	5565
29	167	5401
30	167	5241
31	168	5095
32	169	4953
33	169	4817
34	170	4694
35	170	4578
36	171	4464
37	172	4374
38	173	4275
39	174	4182
40	175	4094
41	175	4011
42	176	3929
43	177	3851
44	177	3776
45	178	3705
46	179	3636
47	180	3571
48	180	3508
49	181	3447
50	182	3391
51	182	3333
52	183	3278
53	184	3224
54	184	3175
55	185	3128
56	186	3083
57	187	3038
58	187	2994
59	188	2951
60	189	2912
61	189	2872
62	190	2834
63	191	2796
64	191	2760
65	192	2726
66	193	2692
67	194	2660
68	194	2630
69	195	2599
70	196	2569
71	197	2540
72	197	2511
73	198	2483
74	199	2459
75	200	2432
76	200	2406
77	201	2384
78	202	2358
79	202	2333
80	203	2309
81	204	2288
82	204	2263
83	205	2243
84	206	2225
85	207	2206
86	208	2187
87	209	2168
88	209	2148
89	210	2130
90	211	2112
91	212	2095
92	213	2078
93	213	2059
94	214	2041
95	214	2024
96	215	2007
97	216	1990
98	216	1972
99	217	1955
100	217	1938
101	218	1921
102	218	1905
103	219	1890
104	219	1874
105	220	1859
106	221	1845
107	221	1832
108	222	1819
109	223	1805
110	223	1791
111	224	1777
112	224	1764
113	225	1750
114	225	1737
115	226	1725
116	226	1712
117	227	1701
118	228	1689
119	228	1678
120	229	1666
121	229	1653
122	230	1642
123	230	1631
124	231	1620
125	232	1610
126	232	1599
127	233	1589
128	233	1579
129	234	1570
130	235	1559
131	235	1550
132	236	1540
133	236	1531
134	237	1522
135	238	1512
136	238	1503
137	239	1494
138	239	1485
139	240	1476
140	240	1467
141	241	1458
142	242	1450
143	242	1442
144	243	1433
145	243	1425
146	244	1416
147	244	1408
148	245	1400
149	245	1393
150	246	1385
151	247	1378
152	247	1371
153	248	1363
154	248	1356
155	249	1349
156	250	1343
157	250	1336
158	251	1329
159	251	1322
160	252	1314
161	252	1308
162	253	1301
163	254	1295
164	254	1288
165	255	1281
166	255	1275
167	256	1269
168	256	1263
169	257	1257
170	258	1252
171	258	1246
172	259	1240
173	259	1233
174	260	1228
175	261	1222
176	261	1217
177	262	1211
178	262	1205
179	263	1199
180	263	1194
181	264	1189
182	265	1184
183	266	1179
184	266	1174
185	267	1170
186	268	1166
187	268	1161
188	269	1156
189	270	1152
190	270	1147
191	271	1142
192	272	1138
193	272	1133
194	273	1129
195	274	1124
196	274	1119
197	275	1115
198	275	1110
199	276	1106
200	277	1101
201	277	1097
202	278	1092
203	278	1088
204	279	1084
205	280	1079
206	280	1075
207	281	1070
208	281	1066
209	282	1061
210	282	1057
211	283	1053
212	284	1049
213	284	1045
214	285	1041
215	285	1037
216	286	1033
217	287	1030
218	288	1027
219	288	1023
220	289	1019
221	290	1016
222	290	1012
223	291	1009
224	291	1005
225	292	1001
226	292	997
227	293	993
228	294	989
229	294	986
230	295	983
231	296	981
232	297	978
233	298	975
234	298	972
235	299	969
236	300	966
237	300	963
238	301	959
239	302	957
240	303	954
241	303	951
242	304	948
243	305	945
244	305	942
245	306	939
246	307	936
247	307	932
248	308	929
249	308	926
250	309	922
251	309	919
252	310	916
253	310	913
254	311	910
255	312	906
256	312	904
257	313	902
258	314	899
259	315	896
260	315	894
261	316	891
262	317	889
263	318	887
264	318	884
265	319	882
266	320	879
267	321	877
268	321	874
269	322	872
270	323	869
271	323	866
272	324	863
273	324	860
274	325	858
275	326	855
276	326	853
277	327	851
278	328	848
279	329	846
280	330	844
281	331	843
282	332	841
283	332	839
284	333	837
285	334	835
286	335	833
287	336	831
288	337	829
289	337	826
290	338	824
291	339	822
292	339	819
293	340	818
294	341	815
295	341	813
296	342	810
297	343	808
298	343	805
299	344	803
300	344	801
301	345	798
302	346	796
303	346	793
304	347	791
305	347	789
306	348	786
307	349	784
308	349	781
309	350	779
310	350	776
311	351	774
312	351	772
313	352	769
314	353	767
315	353	765
316	354	763
317	354	760
318	355	758
319	356	757
320	356	755
321	357	753
322	358	751
323	359	749
324	359	747
325	360	745
326	361	743
327	361	740
328	362	738
329	362	736
330	363	734
331	363	731
332	364	729
333	364	727
334	365	725
335	365	723
336	366	721
337	367	719
338	368	718
339	369	717
340	370	715
341	371	714
342	372	712
343	372	710
344	373	709
345	374	707
346	375	705
347	375	703
348	376	701
349	376	699
350	377	698
351	378	696
352	379	695
353	379	693
354	380	690
355	380	688
356	381	686
357	382	685
358	382	683
359	383	681
360	383	679
361	384	677
362	385	675
363	385	673
364	386	671
365	386	670
366	387	668
367	388	666
368	388	664
369	389	662
370	390	661
371	390	659
372	391	657
373	391	656
374	392	654
375	393	652
376	393	650
377	394	649
378	395	647
379	395	645
380	396	643
381	396	642
382	397	640
383	398	639
384	399	637
385	399	635
386	400	633
387	400	631
388	401	630
389	401	628
390	402	626
391	402	625
392	403	623
393	404	621
394	404	620
395	405	618
396	406	617
397	407	615
398	407	614
399	408	612
400	409	611
401	409	609
402	410	608
403	410	606
404	411	604
405	412	602
406	412	601
407	413	599
408	413	598
409	414	596
410	414	594
411	415	593
412	416	591
413	416	589
414	417	588
415	417	586
416	418	585
417	419	583
418	419	581
419	420	580
420	421	579
421	421	577
422	422	576
423	423	575
424	424	574
425	424	572
426	425	570
427	425	569
428	426	567
429	427	566
430	427	564
431	428	563
432	429	562
433	429	560
434	430	559
435	430	557
436	431	556
437	432	554
438	432	553
439	433	551
440	434	550
441	434	548
442	435	547
443	436	546
444	436	544
445	437	543
446	438	541
447	438	540
448	439	539
449	440	537
450	440	536
451	441	535
452	442	533
453	442	532
454	443	531
455	444	529
456	444	528
457	445	526
458	445	525
459	446	523
460	446	522
461	447	521
462	447	519
463	448	518
464	448	516
465	449	515
466	450	513
467	451	512
468	451	511
469	452	510
470	453	508
471	453	507
472	454	506
473	455	505
474	456	504
475	456	502
476	457	501
477	458	500
478	459	499
479	459	498
480	460	497
481	461	495
482	462	494
483	462	493
484	463	492
485	464	490
486	464	489
487	465	488
488	466	487
489	467	486
490	468	485
491	468	484
492	469	483
493	470	481
494	470	480
495	471	479
496	472	477
497	472	476
498	473	475
499	473	473
500	474	472
501	475	471
502	475	470
503	476	468
504	476	467
505	477	466
506	478	464
507	478	463
508	479	462
509	479	461
510	480	459
511	481	458
512	481	457
513	482	456
514	482	454
515	483	453
516	484	452
517	484	451
518	485	449
519	486	448
520	486	447
521	487	446
522	487	444
523	488	443
524	489	442
525	489	441
526	490	439
527	490	438
528	491	437
529	491	436
530	492	434
531	492	433
532	493	432
533	494	431
534	494	429
535	495	428
536	496	427
537	496	426
538	497	425
539	498	424
540	499	423
541	500	422
542	501	421
543	501	420
544	502	419
545	502	418
546	503	417
547	504	416
548	505	415
549	505	413
550	506	412
551	506	411
552	507	410
553	507	408
554	508	407
555	509	406
556	509	405
557	510	404
558	510	402
559	511	401
560	511	400
561	512	399
562	513	398
563	513	397
564	514	396
565	515	395
566	515	393
567	516	392
568	517	391
569	517	390
